สายรถเมล์,บริษัท,เวลาเที่ยวแรก,เวลาเที่ยวสุดท้าย,จำนวนรถ,ไปหรือกลับ
1,BMTA,0420,2220,13,ไป
1,BMTA,0440,2250,13,กลับ
2,TSB,0430,2150,35,ไป
2,TSB,0530,2300,35,กลับ
3,BMTA,0420,2200,24,ไป
3,BMTA,0500,2250,24,กลับ
4,BMTA,0340,2300,20,ไป
4,BMTA,0410,2340,20,กลับ
6,TSB,0500,2100,20,ไป
6,TSB,0605,2200,20,กลับ
8,TSB,0345,2200,55,ไป
8,TSB,0520,2300,55,กลับ
9,TSB,0500,2200,6,ไป
9,TSB,0600,2300,6,กลับ
12,TSB,0430,1930,18,ไป
12,TSB,0530,2030,18,กลับ
15,BMTA,0400,2200,20,ไป
15,BMTA,0450,2250,20,กลับ
16,BMTA,0400,2100,22,ไป
16,BMTA,0500,2200,22,กลับ
17,TSB,0500,2200,20,ไป
17,TSB,0610,2300,20,กลับ
18,TSB,0400,2145,40,ไป
18,TSB,0445,2230,40,กลับ
20,BMTA,0400,2200,19,ไป
20,BMTA,0500,2300,19,กลับ
21,BMTA,0400,2200,18,ไป
21,BMTA,0500,2300,18,กลับ
24,BMTA,0410,2200,21,ไป
24,BMTA,0450,2300,21,กลับ
25,TSB,0430,1800,17,ไป
25,TSB,0530,2300,17,กลับ
26,BMTA,0400,2200,38,ไป
26,BMTA,0500,2300,38,กลับ
27,TSB,0400,2000,20,ไป
27,TSB,0500,2200,20,กลับ
28,TSB,0430,2200,30,ไป
28,TSB,0600,2300,30,กลับ
29,TSB,0500,2200,12,ไป
29,TSB,0600,2300,12,กลับ
34,TSB,0420,1730,25,ไป
34,TSB,0620,1930,25,กลับ
35,TSB,0430,2200,14,ไป
35,TSB,0600,2400,14,กลับ
36,BMTA,0430,2200,20,ไป
36,BMTA,0510,2300,20,กลับ
37,BMTA,0430,2200,8,ไป
37,BMTA,0510,2230,8,กลับ
38,TSB,0430,2200,19,ไป
38,TSB,0530,2250,19,กลับ
40,TSB,0400,2200,37,ไป
40,TSB,0530,2330,37,กลับ
42,TSB,0500,2200,14,ไป
42,TSB,-,-,14,กลับ
43,TSB,0530,2200,4,ไป
43,TSB,0630,2300,4,กลับ
44,TSB,0430,2000,10,ไป
44,TSB,0530,2100,10,กลับ
48,TSB,0430,2200,31,ไป
48,TSB,0550,2300,31,กลับ
