from,to,distance
MinburiBusDepot,Chatuchak2MarketMinburi,354.8234838580028
Chatuchak2MarketMinburi,Navamin9Hospital,351.50010254080973
Navamin9Hospital,MinBuriIntersection(OppositeSoiTakhian),259.62716045185624
MinBuriIntersection(OppositeSoiTakhian),Ramintra90,343.22684425849457
Ramintra90,OppositeSetthabutBamphenSchool,350.64248870335433
OppositeSetthabutBamphenSchool,Ramintra86,305.8032004038019
Ramintra86,Ramintra84,324.63623780515076
Ramintra84,MomchaoSangangam,343.94949013688887
MomchaoSangangam,OppositeRamintra115,329.98762412691303
OppositeRamintra115,OppositePhrayaSuren,365.3756240103747
OppositePhrayaSuren,MubanRangsiYa,303.70803983779996
MubanRangsiYa,TechnoThaiSuriya,339.9276699571603
TechnoThaiSuriya,OppositeNoppositeharatHospital,340.9474560222043
OppositeNoppositeharatHospital,RamIntraRoadSoi66,308.65356671550177
RamIntraRoadSoi66,ThanakhanThaiphanitRamInThra,373.18878790303535
ThanakhanThaiphanitRamInThra,OppositeFashionIsland,262.6741981739945
OppositeFashionIsland,UmnuayPhesaj,332.8493595728831
UmnuayPhesaj,SoiChuenKamon,282.61420050476573
SoiChuenKamon,SynphaetHospital,327.1951247847421
SynphaetHospital,RamInThra50OppositeSunNitSan,265.6668251635266
RamInThra50OppositeSunNitSan,KhondoLumPhiNiOppositeSoiAmonWiwat,313.3126451060808
KhondoLumPhiNiOppositeSoiAmonWiwat,NawaMin98OppositePraisaniChorakheBua,353.6161137930687
NawaMin98OppositePraisaniChorakheBua,OppositeRongrianNawaMin(SingSinghaSeni),346.6558929743202
OppositeRongrianNawaMin(SingSinghaSeni),MubanAmRinNawaMin90,257.87800455554674
MubanAmRinNawaMin90,PhyathaiNawaminHospital,280.1708030947588
PhyathaiNawaminHospital,NawaMin80OppositeKhehaNawaMin,270.56804851676736
NawaMin80OppositeKhehaNawaMin,RongrianBadinDeCha2,358.72007289788735
RongrianBadinDeCha2,MubanPatWiKon,277.23811546637165
MubanPatWiKon,SoiNuanchanNawamin,346.92581074169675
SoiNuanchanNawamin,MubanThanaSin,257.2955221943132
MubanThanaSin,NawaMin58(MubanSinThani1)OppositePrakanSangkhom,333.68466493719177
NawaMin58(MubanSinThani1)OppositePrakanSangkhom,SantiAsok,365.46659402000785
SantiAsok,OppositeTalatInThraRak,264.43528430354826
OppositeTalatInThraRak,NawaMin36ThanakhanKasikon,337.3964944940009
NawaMin36ThanakhanKasikon,MubanThanThipOppositeRongrianSoMapha,359.2036229446228
MubanThanThipOppositeRongrianSoMapha,MubanSrinakron1,308.9887934009644
MubanSrinakron1,OppositeMubanWangThong,371.6764467574745
OppositeMubanWangThong,SoiSriBurapha3ThalaySaab1,261.2203715063494
SoiSriBurapha3ThalaySaab1,SoiSriBurapha3KruaRimbueng,365.7872097577192
SoiSriBurapha3KruaRimbueng,SoiSriBurapha8,358.5694787615106
SoiSriBurapha8,SoiSriBurapha15,287.43406070170624
SoiSriBurapha15,SoiSriBurapha20KlongjunKindergarten,295.5649257795218
SoiSriBurapha20KlongjunKindergarten,YaekNidaBusStop,343.22920553472926
YaekNidaBusStop,SathabanNiDa,272.5693032214852
SathabanNiDa,PierMeasuredSriboonruangTempleSriboonruang,304.96063726996334
PierMeasuredSriboonruangTempleSriboonruang,YaekBangKapi,313.2830308296824
YaekBangKapi,BangKapiMarket,359.2502770545655
BangKapiMarket,SunHonDaRamKhamNgae,325.32687933608946
SunHonDaRamKhamNgae,RamkhamhaengHospital,295.7535695717109
